cryojet_current_temp[K],Setpoint[K],T1[K],Time[h-m-s]
415.43,415.6,396.9500030517578,12-57-45
416.53000000000003,416.6,397.9500030517578,12-57-56
417.7,417.8,399.15,12-58-07
418.83,418.90000000000003,400.0500015258789,12-58-18
419.81,420.0,401.0500015258789,12-58-29
420.81,421.0,402.15,12-58-40
422.03000000000003,422.1,403.15,12-58-50
423.14,423.2,404.2500061035156,12-59-01
424.11,424.3,405.34999694824216,12-59-12
425.23,425.3,406.2500061035156,12-59-23
426.43,426.5,407.2500061035156,12-59-34
427.52,427.6,408.4500030517578,12-59-45
428.62,428.7,409.2500061035156,12-59-56
429.74,429.8,410.2500061035156,13-00-07
430.82,430.90000000000003,411.2500061035156,13-00-18
431.81,432.0,412.34999694824216,13-00-29
433.01,433.1,413.34999694824216,13-00-40
434.12,434.2,414.4500030517578,13-00-51
435.18,435.3,415.4500030517578,13-01-02
436.33,436.40000000000003,416.34999694824216,13-01-13
437.23,437.2,417.65,13-01-24
438.49,438.6,418.4500030517578,13-01-35
439.62,439.7,419.54999389648435,13-01-46
440.71000000000004,440.8,420.54999389648435,13-01-57
441.8,441.90000000000003,421.54999389648435,13-02-08
442.92,443.0,422.65,13-02-19
443.93,444.0,423.65,13-02-30
445.13,445.2,424.65,13-02-41
446.23,446.3,425.65,13-02-52
447.32,447.40000000000003,426.65,13-03-04
448.41,448.5,427.65,13-03-15
449.61,449.7,429.04999389648435,13-03-26
450.73,450.8,430.2500061035156,13-03-37
451.84000000000003,451.90000000000003,431.34999694824216,13-03-48
452.93,453.0,432.34999694824216,13-03-59
454.02,454.1,433.4500030517578,13-04-10
455.14,455.2,434.54999389648435,13-04-21
456.22,456.3,435.54999389648435,13-04-32
457.23,457.5,436.54999389648435,13-04-43
458.42,458.5,437.34999694824216,13-04-54
459.51,459.6,437.9500030517578,13-05-05
460.48,460.8,439.04999389648435,13-05-16
461.63,461.8,439.84999694824216,13-05-27
462.82,462.90000000000003,440.84999694824216,13-05-38
463.88,464.0,442.15,13-05-49
465.01,465.1,443.4500030517578,13-06-00
466.13,466.2,444.4500030517578,13-06-12
467.0,467.2,445.54999389648435,13-06-23
468.40000000000003,468.5,446.54999389648435,13-06-34
469.53000000000003,469.6,447.65,13-06-45
470.63,470.7,448.65,13-06-56
471.42,471.6,449.54999389648435,13-07-07
472.84000000000003,472.90000000000003,450.54999389648435,13-07-18
473.82,474.1,451.54999389648435,13-07-29
475.0,475.1,452.65,13-07-40
476.13,476.2,453.54999389648435,13-07-51
477.13,477.3,454.65,13-08-02
478.31,478.40000000000003,455.65,13-08-14
479.54,479.6,456.65,13-08-25
480.65000000000003,480.8,457.65,13-08-36
481.72,481.8,458.54999389648435,13-08-47
482.82,482.90000000000003,459.54999389648435,13-08-58
483.95,484.0,460.54999389648435,13-09-09
485.01,485.1,461.4500030517578,13-09-20
486.11,486.2,462.54999389648435,13-09-31
487.21000000000004,487.3,463.54999389648435,13-09-43
488.41,488.5,464.54999389648435,13-09-54
489.51,489.6,465.4500030517578,13-10-05
490.65000000000003,490.8,466.4500030517578,13-10-16
491.72,491.8,467.4500030517578,13-10-27
492.72,493.0,468.4500030517578,13-10-38
493.94,494.1,469.54999389648435,13-10-50
494.8,495.0,470.4500030517578,13-11-01
496.18,496.3,471.4500030517578,13-11-12
497.3,497.40000000000003,472.4500030517578,13-11-23
498.42,498.6,473.4500030517578,13-11-34
499.48,499.6,474.4500030517578,13-11-45
500.45,500.0,475.4500030517578,13-11-57
500.31,500.0,476.15,13-12-08
500.27000000000004,500.0,476.65,13-12-19
